Best Score, SEED, HMIN, HMAX, T, TMAX, MMAX, alpha, beta, gamma, LAMBDA
8.1955, 1070215, 4, 6, 3910, 11215, 28291, 1.37173, 0.525319, 0.989395, 2
8.22207, 1070216, 4, 6, 4526, 9436, 11013, 3.55849, 0.473215, 0.145098, 3
8.25361, 1070217, 5, 7, 5306, 13873, 19523, 3.53086, 0.423054, 0.669216, 10
8.32331, 1070218, 3, 3, 101, 157, 221, 1.98467, 0.560642, 0.722992, 19
8.24879, 1070219, 6, 6, 2885, 8029, 10583, 1.20731, 0.47062, 0.336612, 15
8.26668, 1070220, 5, 6, 5253, 13999, 16161, 3.71697, 0.868684, 0.927672, 21
8.23409, 1070221, 3, 6, 6758, 7472, 14804, 1.08976, 0.78607, 0.153672, 2
8.41753, 1070222, 4, 4, 612, 1178, 1429, 2.23148, 0.100578, 0.586365, 17
8.54762, 1070223, 4, 4, 595, 790, 1923, 1.50017, 0.435182, 0.251678, 20
8.30419, 1070224, 4, 6, 2787, 6444, 15374, 1.80003, 0.961261, 0.112634, 19
8.31046, 1070225, 3, 7, 7427, 16386, 49102, 1.79476, 0.472467, 0.220876, 15
8.3883, 1070226, 4, 5, 2336, 6187, 8952, 1.9666, 0.373165, 0.527012, 9
8.30518, 1070227, 4, 6, 2404, 7190, 16473, 3.52299, 0.84138, 0.247989, 9
8.27985, 1070228, 5, 7, 7981, 11178, 33310, 2.79511, 0.702713, 0.613914, 16
8.36755, 1070229, 3, 5, 1819, 3352, 8226, 3.32472, 0.0676865, 0.336733, 8
8.32566, 1070230, 4, 5, 1484, 4378, 6250, 1.69438, 0.269821, 0.792371, 6
8.30279, 1070231, 4, 6, 5138, 6592, 19445, 2.4509, 0.989987, 0.194013, 17
8.28343, 1070232, 3, 3, 252, 593, 1740, 1.26019, 0.110319, 0.843062, 11
8.22507, 1070233, 4, 7, 6982, 15240, 25681, 3.21442, 0.260561, 0.242454, 8
8.21138, 1070234, 4, 6, 6112, 9118, 9493, 3.24953, 0.102956, 0.540143, 5
8.29821, 1070235, 4, 4, 550, 1085, 1417, 3.81287, 0.633176, 0.722962, 7
8.36386, 1070236, 3, 5, 1223, 2495, 5534, 2.3615, 0.204607, 0.0654618, 21
8.20965, 1070237, 7, 7, 3914, 7786, 9825, 2.79654, 0.733337, 0.467379, 16
8.24205, 1070238, 4, 7, 13546, 29225, 39322, 3.28946, 0.7724, 0.817149, 9
8.12561, 1070239, 4, 7, 7545, 14068, 41382, 1.94575, 0.720026, 0.979487, 11
8.29857, 1070240, 7, 7, 5151, 9308, 12312, 3.42093, 0.110561, 0.487946, 8
8.2654, 1070241, 3, 6, 5589, 9025, 12915, 2.43866, 0.10821, 0.309527, 17
8.20206, 1070242, 7, 7, 4393, 10084, 15679, 2.81623, 0.146313, 0.507422, 5
8.30384, 1070243, 3, 7, 8804, 11877, 24888, 1.58803, 0.959616, 0.852082, 12
8.33097, 1070244, 4, 4, 641, 842, 2128, 2.95602, 0.326571, 0.895157, 20
8.48441, 1070245, 3, 5, 1412, 3637, 9174, 2.06993, 0.701476, 0.696741, 12
8.31359, 1070246, 3, 7, 12929, 25503, 36186, 3.17763, 0.225118, 0.730645, 20
8.44834, 1070247, 4, 5, 2427, 3825, 5793, 2.96312, 0.63003, 0.107487, 10
8.41643, 1070248, 7, 7, 4924, 7675, 13391, 1.5565, 0.790961, 0.515472, 20
8.26411, 1070249, 7, 7, 5302, 14092, 32220, 2.01872, 0.691903, 0.211269, 5
8.27653, 1070250, 5, 7, 5388, 11161, 13702, 2.5702, 0.787313, 0.889448, 5
8.28809, 1070251, 7, 7, 4963, 9280, 23077, 2.13897, 0.619958, 0.55691, 8
8.23973, 1070252, 6, 6, 3159, 4060, 8611, 1.90783, 0.436255, 0.0265332, 13
8.35639, 1070253, 3, 3, 250, 779, 997, 1.74019, 0.0617232, 0.872215, 17
8.30293, 1070254, 5, 5, 1377, 3897, 3994, 1.7432, 0.45589, 0.465252, 20
8.22521, 1070255, 4, 6, 5809, 12304, 33626, 2.43588, 0.23688, 0.279497, 14
8.23449, 1070256, 4, 6, 5797, 10613, 22061, 3.89526, 0.328286, 0.217947, 21
8.36318, 1070257, 3, 5, 2501, 5451, 10809, 3.8377, 0.163476, 0.173625, 13
8.27906, 1070258, 4, 5, 2269, 5949, 7191, 3.71921, 0.174375, 0.84039, 11
8.22626, 1070259, 3, 5, 2963, 8894, 15008, 3.42283, 0.620815, 0.876178, 6
8.21807, 1070260, 5, 7, 11445, 29026, 45513, 3.90496, 0.614431, 0.226028, 5
8.15131, 1070261, 5, 6, 3490, 8902, 14013, 2.37559, 0.985334, 0.0299765, 20
8.285, 1070262, 4, 6, 4921, 13449, 16421, 3.15541, 0.520155, 0.200691, 3
8.24334, 1070263, 4, 6, 4720, 9000, 13816, 1.49545, 0.661861, 0.140615, 20
8.29839, 1070264, 5, 7, 5651, 15988, 33432, 2.71987, 0.627041, 0.0194204, 3
8.25277, 1070265, 5, 6, 5076, 6735, 15570, 1.59806, 0.0860228, 0.464352, 10
8.3127, 1070266, 3, 5, 2988, 4323, 12556, 1.78077, 0.833817, 0.843375, 13
8.24247, 1070267, 3, 6, 6682, 13428, 30539, 2.99792, 0.28802, 0.8541, 18
8.26283, 1070268, 3, 4, 863, 1657, 3662, 2.13269, 0.720916, 0.230128, 4
8.45734, 1070269, 4, 5, 1096, 1165, 1973, 3.29765, 0.536982, 0.482494, 8
8.22439, 1070270, 5, 7, 8514, 10527, 30647, 1.73727, 0.146826, 0.176227, 13
8.25723, 1070271, 5, 5, 1780, 4734, 11635, 1.23772, 0.924179, 0.663709, 5
8.16608, 1070272, 4, 7, 8396, 17064, 26697, 2.76375, 0.186971, 0.935335, 16
8.2378, 1070273, 7, 7, 6337, 16030, 18530, 3.52084, 0.377043, 0.122636, 12
8.25757, 1070274, 5, 7, 8852, 26341, 78005, 3.14495, 0.91419, 0.707776, 13
8.29307, 1070275, 3, 5, 1746, 2435, 6885, 1.68679, 0.875756, 0.531962, 14
8.34873, 1070276, 3, 3, 136, 319, 468, 3.26172, 0.55394, 0.201481, 3
8.38013, 1070277, 3, 5, 1339, 1472, 1519, 1.34048, 0.694418, 0.457608, 19
8.3599, 1070278, 6, 7, 4426, 4485, 6055, 3.94189, 0.510291, 0.762638, 19
8.16597, 1070279, 6, 7, 9564, 23485, 42617, 1.64873, 0.504245, 0.845196, 6
